"1","Whiterun","Iron Sword","10","25","A standard Iron Sword"
"2","Solitude","Steel Sword","12","45","A sturdy Steel Sword"
"3","Whiterun","Apple","0.1","2","A fresh apple"
"4","Solitude","Cheese","1","5","A piece of cheese"
"5","Whiterun","Iron Armour","30","100","A standard Iron Armour"
"6","Solitude","Steel Armour","35","150","A sturdy Steel Armour"
"7","Whiterun","Health Potion","0.5","50","A potion that restores health"
"8","Solitude","Mana Potion","0.5","50","A potion that restores mana"
"9","Whiterun","Fire Salts","0.2","20","A rare ingredient"
"10","Solitude","Frost Salts","0.2","20","A rare ingredient"
"11","Whiterun","Conjuration for Novices","1","30","A book on the basics of Conjuration"
"12","Solitude","Destruction for Beginners","1","30","A book on the basics of Destruction"
"13","Whiterun","Scroll of Fireball","0.5","100","A scroll that casts a powerful fireball"
"14","Solitude","Scroll of Frostbite","0.5","100","A scroll that casts a powerful frostbite"
"15","Whiterun","Key to Dragonsreach","0.1","0","A key to the Dragonsreach in Whiterun"
"16","Solitude","Key to Blue Palace","0.1","0","A key to the Blue Palace in Solitude"
